feature,mean,scale
log_gdp_lag4,4.751133531968842,1.0170957135110965
log_gdp_qoq_pct,0.00578805148501388,0.004209974867209625
log_gdp_yoy_pct,0.02331241954185735,0.014796547353839952
gdp_qoq_pct_recalc_lag1,2.7183495113938303,1.7519749704616931
gdp_qoq_pct_recalc_lag4,2.7335850362103398,1.7493445419009446
gdp_qoq_pct_recalc_diff1,-0.019490739303557377,1.0806397159811334
gdp_qoq_pct_recalc_diff4,-0.07589308442082668,2.1071576108578474
gdp_qoq_pct_recalc_qoq_pct,0.07996831294180969,0.5941047552021141
gdp_qoq_pct_recalc_yoy_pct,0.30570923472413236,1.0511815880146973
log_gdp_qoq_pct_recalc,0.8018060358918263,0.6555473194328636
gdp_yoy_pct_recalc_lag1,11.497628690712135,6.783431437143885
gdp_yoy_pct_recalc_lag4,11.56126549184435,6.77157756363871
gdp_yoy_pct_recalc_diff1,-0.05825553483646911,2.3965596588807307
gdp_yoy_pct_recalc_diff4,-0.2388476928295232,6.721569825502879
gdp_yoy_pct_recalc_qoq_pct,0.017706655823296513,0.2205721412730546
gdp_yoy_pct_recalc_yoy_pct,0.15176653465033343,0.7177468538304317
log_gdp_yoy_pct_recalc,2.2772120413670724,0.5826869761932185
inflation_lag1_lag1,5.582073770491804,4.402434563211061
inflation_lag1_lag4,5.622210084033612,4.395288472447679
inflation_lag1_diff1,-0.02899180327868854,1.2873022961009588
inflation_lag1_diff4,-0.08782352941176474,3.87946267198689
inflation_lag2_lag1,5.622886178861787,4.408284296499277
inflation_lag2_lag4,5.668333333333332,4.398979308542977
inflation_lag2_diff1,-0.030260162601626017,1.2872171022578651
inflation_lag2_diff4,-0.11895833333333329,3.883508518029826
interest_rate_lag1_lag1,10.965877049180326,3.3765217108970544
interest_rate_lag1_lag4,10.941168067226892,3.372991496310464
interest_rate_lag1_diff1,-0.1018360655737705,0.590200722562928
interest_rate_lag1_diff4,-0.3459831932773109,1.9206465308596263
interest_rate_lag2_lag1,11.162447154471545,3.7731037112941235
interest_rate_lag2_lag4,11.159358333333335,3.7730535460317975
interest_rate_lag2_diff1,-0.1063739837398374,0.5878431653685771
interest_rate_lag2_diff4,-0.4243583333333334,1.9528596186760008
interest_rate_lag2_qoq_pct,-0.0052996383388087456,0.04292143143758499
