quarter_end,gdp_raw,inflation,interest_rate,fdi_pct_gdp,investment_pct_gdp,export_pct_gdp,unemployment_rate,gov_spending_pct_gdp,gdp_growth,log_gdp,gdp_qoq_pct_recalc,gdp_yoy_pct_recalc,inflation_lag1,inflation_lag2,interest_rate_lag1,interest_rate_lag2,log_gdp_diff1,log_gdp_diff4,inflation_scaled,interest_rate_scaled,fdi_pct_gdp_scaled,investment_pct_gdp_scaled,export_pct_gdp_scaled,unemployment_rate_scaled,gov_spending_pct_gdp_scaled,log_gdp_raw,log_fdi_pct_gdp,log_investment_pct_gdp,log_export_pct_gdp,log_gov_spending_pct_gdp,log_gdp_growth,log_log_gdp,real_interest_rate
2006-06-30,69.095,7.646,11.177,4.858,35.777,68.407,2.041,5.538,7.015,4.235482369255448,4.102633640691855,15.566668896768586,7.418,7.636,11.176,11.138,0.0402070884549061,0.14467739733188,0.4557509370699352,0.0663150838269042,-0.1844958847360537,1.2497493300836766,0.0549677494402429,0.4051480131095648,-1.4924808971943888,4.235482369255448,1.5806268305799807,3.577305228841456,4.225475158573494,1.7116334247487701,1.9480507135544243,1.443497222268468,3.5309999999999997
2006-09-30,71.848,7.877,11.178,6.115,37.031,69.106,2.036,5.543,7.053,4.274552776368648,3.9843693465518415,15.945583939838937,7.646,7.418,11.177,11.176,0.0390704071132006,0.1479507910876796,0.50742409750619,0.0666066320979882,0.5522568024634348,1.6967981901086169,0.0998149400854944,0.3938719760065991,-1.4897237493369662,4.274552776368648,1.8107447691391356,3.611755399691864,4.235641557684232,1.7125358704376676,1.953453058226042,1.4526794832013912,3.301000000000001
2006-12-31,74.631,8.111,11.179,7.385,38.299,69.812,2.031,5.549,7.091,4.312555970490748,3.873455071818288,16.30382271813493,7.877,7.646,11.178,11.177,0.0380031941220995,0.1510357424557957,0.5597683379481105,0.0668981803690717,1.296629048082647,2.148838026242289,0.1451112442279089,0.3825959389036334,-1.4864151719080587,4.312555970490748,1.9994509159833431,3.645423786185163,4.24580591476259,1.7136177313437642,1.9588263743218597,1.4615307609377772,3.0679999999999996
2007-03-31,77.414,8.344,11.18,8.655,39.566,70.518,2.026,5.554,7.13,4.3491676427921,3.729013412656945,16.636533477972648,8.111,7.877,11.179,11.178,0.036611672301352,0.1538923619915584,0.6118888850548088,0.0671897286401552,2.0410012937018593,2.600521364082481,0.1904075483703235,0.3713199018006667,-1.4836580240506358,4.3491676427921,2.1581371886281726,3.6779701636059006,4.255867996378772,1.7145183888846078,1.9643112344262046,1.4699844803069437,2.8360000000000003
2007-06-30,82.769,11.987,12.315,8.903,38.809,70.473,1.992,5.572,6.768,4.416053595152217,6.917353450280306,19.790144004631305,8.344,8.111,11.18,11.179,0.066885952360117,0.1805712258967693,1.426803705268125,0.3980970163201129,2.1863590235550605,2.3306521559175035,0.1875203901742771,0.2946428495004989,-1.473732291763914,4.416053595152217,2.186388298591534,3.6586521784938397,4.255229657739738,1.7177540559175593,1.912205622303922,1.4852464454845289,0.3279999999999994
2007-09-30,88.183,15.669,13.463,9.155,38.042,70.428,1.958,5.589,6.402,4.479414200671107,6.541096304171856,22.735497160672537,11.987,8.344,12.315,11.18,0.0633606055188895,0.2048614243024582,2.250442565555095,0.7327944315241581,2.3340612329220214,2.0572179648177205,0.1846332319782308,0.2179657972003305,-1.4643579890486762,4.479414200671107,2.214300178126474,3.6386908125306494,4.254590911364198,1.720800380287561,1.8566104415476714,1.4994922790984486,-2.2060000000000013
2007-12-31,93.657,19.392,14.623,9.409,37.268,70.382,1.924,5.607,6.032,4.539639172492881,6.207545672068293,25.493427664107404,15.669,11.987,13.463,12.315,0.060224971821774,0.2270832020021327,3.083252852586161,1.0709904259812075,2.482935682045865,1.78128828566357,0.1816819147111618,0.1412887449001622,-1.4544322567619543,4.539639172492881,2.241666678024629,3.6181350495881786,4.253937548653647,1.7240158171415354,1.797078630705655,1.5128475314702832,-4.769
2008-03-31,99.13,23.115,15.784,9.663,36.493,70.337,1.889,5.625,5.662,4.596432120044806,5.843663580938951,28.05177358100601,19.392,15.669,14.623,13.463,0.0567929475519255,0.2472644772527061,3.916063139617228,1.4094779687093408,2.631810131169707,1.50500210821594,0.1787947565151154,0.0623564851794009,-1.4445065244752324,4.596432120044806,2.2683041590171715,3.5971204613742347,4.253297976150517,1.7272209480904839,1.7337771866897078,1.525280376464299,-7.330999999999998
2008-06-30,100.842,19.038,14.363,9.043,36.66,68.415,1.851,5.663,5.596,4.613554935522484,1.7270251185312224,21.835469801495712,23.115,19.392,15.784,14.623,0.0171228154776779,0.197501340370267,3.0040654119176153,0.9951878754994552,2.268415806536705,1.564537323227234,0.0554810220084296,-0.0233413968031401,-1.423552200758819,4.613554935522484,2.201990977758343,3.6016862424115588,4.225592098831774,1.733953787131668,1.7220520568032347,1.5289986955243704,-4.675000000000001
2008-09-30,102.554,14.961,12.942,8.423,36.826,66.494,1.813,5.701,5.531,4.630389489120938,1.6977053211955306,16.296791898665262,19.038,23.115,14.363,15.784,0.0168345535984535,0.150975288449831,2.0920676842180024,0.5808977822895699,1.905021481903704,1.6237160399450503,-0.0677685534272335,-0.1090392787856812,-1.402597877042406,4.630389489120938,2.1309660593332267,3.6062041174450283,4.197111718027328,1.7406415980494447,1.710368631012541,1.532640987480297,-2.019
