quarter,topic,n_comments,n_unique_authors,like_sum,like_mean,avg_sentiment,median_sentiment,std_sentiment,positive_ratio,negative_ratio,neutral_ratio,net_sentiment,weighted_sentiment_like,p10_sentiment,p90_sentiment,was_missing_period,quarter_end
2023Q1,all,4.0,4.0,0.0,0.0,0.0388,0.0,0.6367308641281129,0.25,0.25,0.5,0.0,0.0388,-0.49021,0.5988500000000001,0,2023-03-31
2023Q2,all,263.0,231.0,34.0,0.12927756653992395,0.05591711026615969,0.0,0.21939296659211951,0.12167300380228137,0.034220532319391636,0.844106463878327,0.08745247148288973,0.057059595959595956,0.0,0.43662000000000023,0,2023-06-30
2023Q3,all,2943.0,2453.0,1048.0,0.35609921848453957,0.0659732585796806,0.0,0.2743777802783712,0.14610941216445802,0.043493034318722396,0.8103975535168195,0.10261637784573563,0.05962407917815083,0.0,0.4404,0,2023-09-30
2023Q4,all,109.0,90.0,13.0,0.11926605504587157,0.08732293577981652,0.0,0.31129858021384105,0.12844036697247707,0.045871559633027525,0.8256880733944955,0.08256880733944955,0.11245901639344263,0.0,0.6758200000000001,0,2023-12-31
2024Q1,all,610.0,559.0,1427.0,2.339344262295082,0.007788032786885247,0.0,0.4818112098209171,0.36885245901639346,0.3655737704918033,0.26557377049180325,0.0032786885245901787,-0.02451006381934218,-0.67104,0.6600400000000001,0,2024-03-31
2024Q2,all,1135.0,963.0,1036.0,0.9127753303964757,0.043582643171806164,0.0,0.45251672233521656,0.32422907488986785,0.26255506607929513,0.413215859030837,0.06167400881057272,0.02026227544910179,-0.6057,0.7058800000000003,0,2024-06-30
2024Q3,all,543.0,477.0,1705.0,3.139963167587477,0.03893314917127072,0.0,0.4940502311422645,0.35359116022099446,0.31307550644567217,0.3333333333333333,0.04051565377532229,-0.2256549822064057,-0.68736,0.7410200000000001,0,2024-09-30
2024Q4,all,328.0,305.0,204.0,0.6219512195121951,0.07758201219512195,0.0,0.4898629375298336,0.40853658536585363,0.2865853658536585,0.3048780487804878,0.12195121951219512,0.09705864661654136,-0.63634,0.76451,0,2024-12-31
2025Q1,all,329.0,301.0,1086.0,3.3009118541033433,0.08123343465045592,0.0,0.4814009500742334,0.3829787234042553,0.2948328267477204,0.3221884498480243,0.08814589665653494,-0.023980212014134247,-0.5875199999999999,0.7515599999999999,0,2025-03-31
2025Q2,all,129.0,117.0,111.0,0.8604651162790697,0.08731162790697676,0.0,0.4841322328125968,0.35658914728682173,0.2713178294573643,0.37209302325581395,0.0852713178294574,0.005535833333333333,-0.5886,0.8196800000000001,0,2025-06-30
2025Q3,all,189.0,172.0,100.0,0.5291005291005291,0.07987354497354496,0.0,0.484845992699573,0.3862433862433862,0.2698412698412698,0.3439153439153439,0.1164021164021164,0.10448581314878892,-0.6033000000000001,0.7703800000000002,0,2025-09-30
2025Q4,all,359.0,324.0,127.0,0.35376044568245124,0.04007298050139275,0.0,0.4890034034906601,0.35376044568245124,0.31197771587743733,0.3342618384401114,0.04178272980501391,0.029477366255144032,-0.6043,0.7573,0,2025-12-31
2026Q1,all,307.0,270.0,191.0,0.6221498371335505,0.10124429967426711,0.0,0.48908107691448405,0.4201954397394137,0.2736156351791531,0.30618892508143325,0.1465798045602606,0.050193373493975915,-0.5771999999999999,0.7838200000000011,0,2026-03-31
2019Q3,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2019-09-30
2019Q4,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2019-12-31
2020Q1,economic_growth,0.0,0.0,0.0,0.13076923076923078,0.0565623076923077,0.0,0.22057689656823376,0.12307692307692308,0.03461538461538462,0.8423076923076923,0.08846153846153847,0.05764183673469389,0.0,0.4404,1,2020-03-31
