month,topic,n_comments,avg_sentiment,positive_ratio,negative_ratio,neutral_ratio,median_sentiment,p10_sentiment,p90_sentiment
2021-04,inflation,9,0.06345555555555554,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.16054000000000007
2021-05,all,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-05,inflation,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-06,all,9,-0.09012222222222223,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.0,-0.5859800000000001,0.08932000000000008
2021-06,inflation,9,-0.09012222222222223,0.1111111111111111,0.2222222222222222,0.6666666666666666,0.0,-0.5859800000000001,0.08932000000000008
2021-07,all,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-07,inflation,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08,all,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-08,inflation,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-09,all,3,0.09866666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.2368
2021-09,inflation,3,0.09866666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.2368
2021-10,all,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-10,inflation,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-11,all,1,0.4033,1.0,0.0,0.0,0.4033,0.4033,0.4033
2021-11,inflation,1,0.4033,1.0,0.0,0.0,0.4033,0.4033,0.4033
2021-12,all,4,0.239875,0.25,0.0,0.75,0.0,0.0,0.6716500000000002
2021-12,inflation,4,0.239875,0.25,0.0,0.75,0.0,0.0,0.6716500000000002
2022-01,all,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-01,inflation,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-02,all,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
